"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
"Build It Records",BLDR192,198937087963,"No More",,Kwal,2024-12-13,Electronic,Mainstage,1,QZZ8B2454752,"No More","Extended Mix",Kwal,,,05:00,Electronic,Mainstage
"Build It Records",BLDR192,198937087963,"No More",,Kwal,2024-12-13,Electronic,Mainstage,4,QZZ8B2454763,"No More","BELLO Remix",Kwal,,BELLO,06:20,Electronic,"Progressive House"
"Build It Records",BLDR192,198937087963,"No More",,Kwal,2024-12-13,Electronic,Mainstage,3,QZZ8B2454971,"No More","Alfonso Tan Remix",Kwal,,"Alfonso Tan",05:46,Electronic,"Melodic Techno"
"Build It Records",BLDR192,198937087963,"No More",,Kwal,2024-12-13,Electronic,Mainstage,2,QZZ8B2454973,"No More","Radio Edit",Kwal,,,04:00,Electronic,Mainstage
"Build It Tech",BLDRT055,198937088106,Blox,,BRST,2024-11-29,Electronic,"Tech House",1,QZZ8B2454775,Blox,,BRST,,,03:50,Electronic,"Tech House"
"Build It Tech",BLDRT054,198622913430,"I See",,"Lux Esto",2024-11-08,Electronic,"Tech House",1,QZZ8A2479295,"I See",,"Lux Esto",,,02:50,Electronic,"Tech House"
"Build It Records",BLDR191,198622817721,"Lose Minds",,"Hot Keys",2024-10-25,Electronic,Mainstage,1,QZZ8A2438727,"Lose Minds",,"Hot Keys",,,06:12,Electronic,Mainstage
"Build It Records",BLDR191A,198622817752,"Lose Minds","Radio Mix","Hot Keys",2024-10-25,Electronic,Mainstage,1,QZZ8A2438729,"Lose Minds","Radio Mix","Hot Keys",,,03:42,Electronic,Mainstage
"Build It Deep",BLDRD013,198622815086,"Saoul en Merd",,"Rance & Maff",2024-10-11,Electronic,"Deep House",1,QZZ8A2438287,"Saoul en Merd",,"Rance & Maff",,,07:52,Electronic,"Deep House"
"Build It Deep",BLDRD013,198622815086,"Saoul en Merd",,"Rance & Maff",2024-10-11,Electronic,"Deep House",2,QZZ8A2438288,"Saoul en Merd","Anmol Jhanb Remix","Rance & Maff",,"Anmol Jhanb",05:30,Electronic,"Deep House"
"Build It Deep",BLDRD012,198622739696,Symbiotic,,Domestique,2024-09-27,Electronic,"Progressive House",1,QZZ8A2415016,Symbiotic,,"im kyle,Domestique",,,04:40,Electronic,"Progressive House"
"Build It Deep",BLDRD012A,198622739825,Symbiotic,"Radio Edit",Domestique,2024-09-27,Electronic,"Progressive House",1,QZZ8A2415044,Symbiotic,"Radio Edit","Domestique,im kyle",,,03:27,Electronic,"Progressive House"
"Build It Records",BLDR190,198622649964,Rollen,"Extended Mix","Roman Anthony",2024-09-13,Electronic,House,1,QZWV32483652,Rollen,"Extended Mix","Roman Anthony",,,05:39,Electronic,House
"Build It Records",BLDR190A,198622650007,Rollen,"Radio Edit","Roman Anthony",2024-09-13,Electronic,House,1,QZWV32483657,Rollen,"Radio Edit","Roman Anthony",,,03:36,Electronic,House
"Build It Deep",BLDRD011,198622539043,"Let Me Light You Up",,Absintheminded,2024-08-30,Electronic,"Deep House",1,QZWV32454693,"Let Me Light You Up",,Absintheminded,,,06:32,Electronic,"Deep House"
"Build It Deep",BLDRD011A,198622567404,"Let Me Light You Up","Radio Mix",Absintheminded,2024-08-30,Electronic,"Deep House",1,QZWV32460497,"Let Me Light You Up","Radio Mix",Absintheminded,,,04:14,Electronic,"Deep House"
"Build It Deep",BLDRD010,198622284752,"Out Of Nowhere",,"Hot Keys",2024-08-16,Electronic,"Organic House",1,QZWDE2446679,"Out Of Nowhere",,"Hot Keys",,,05:20,Electronic,"Organic House"
"Build It Tech",BLDRT053,198622402033,"Love The Bass","Extended Mix","Misto Clean",2024-08-02,Electronic,"Tech House",1,QZWV32414110,"Love The Bass","Extended Mix","Misto Clean",,,03:56,Electronic,"Tech House"
"Build It Tech",BLDRT053A,198622402088,"Love The Bass","Radio Mix","Misto Clean",2024-08-02,Electronic,"Tech House",1,QZWV32414161,"Love The Bass","Radio Mix","Misto Clean",,,03:15,Electronic,"Tech House"
"Build It Tech",BLDRT052,198622189224,"Que No Pare",,"Loüis Pleîn",2024-07-19,Electronic,"Tech House",1,QZWDE2407380,"Que No Pare",,"Loüis Pleîn",,,05:00,Electronic,"Tech House"
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,1,QZWDD2434848,"Like A Beat",,"Hot Keys",,,05:41,Dance,"Tech House"
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,10,QZWDD2434852,Rumba,,"Anmol Jhanb",,,05:07,Dance,"Tech House"
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,5,QZWDD2434853,"My House",,Maonro,,,04:40,Dance,House
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,7,QZWDD2434856,"Drop That",,"Alfonso Tan",,,05:58,Dance,House
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,4,QZWDD2434859,Arguement,,Bravery,,,05:45,Dance,"Tech House"
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,8,QZWDD2434863,"DO IT",,"sant jord",,,05:39,Dance,"Tech House"
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,2,QZWDD2434867,"No More",,Kwal,,,05:00,Dance,"Future House"
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,6,QZWDD2434871,Game,,BRST,,,04:13,Dance,"Future House"
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,9,QZWDD2434896,Nutcracker,,FNXTA,,,03:39,Dance,"Tech House"
"Build It Records",BLDR-SC24,198622016599,"Build It Records Summer Compilation 2024",,"Various Artists",2024-06-28,Dance,Electronica,3,QZWDD2434904,"Kirk Cousins",,"Lux Esto",,,04:32,Dance,"Tech House"
"Build It Records",BLDR-SC24-MH,198622419956,"My House",,Maonro,2024-06-28,Electronic,House,1,QZWV32433447,"My House",,Maonro,,,04:40,Electronic,House
"Build It Tech",BLDRT51,198342826836,"Shake It",,Resonant,2024-06-14,Dance,"Tech House",1,QZTV32410272,"Shake It",,Resonant,,,05:18,Dance,"Tech House"
"Build It Tech",BLDRT050,198342703380,"Vidro Fume",,VOILLA,2024-05-31,Dance,"Tech House",1,QZTRX2443495,"Vidro Fumê",,VOILLA,,,05:39,Dance,"Tech House"
"Build It Tech",BLDRT049,198342378359,Wheaties,,"Danny Samaei",2024-05-17,Dance,"Tech House",1,GBRKQ2482496,Wheaties,,"Danny Samaei",,,05:27,Dance,"Tech House"
"Build It Tech",BLDRT048,198342378168,Mwere,,Gouzy,2024-05-03,Dance,"Tech House",1,GBRKQ2482475,Mwere,Extended,Gouzy,,,06:36,Dance,"Tech House"
"Build It Tech",BLDRT048,198342378168,Mwere,,Gouzy,2024-05-03,Dance,"Tech House",2,GBRKQ2482480,Mwere,"Radio Mix",Gouzy,,,04:07,Dance,"Tech House"
"Build It Tech",BLDRT047,198342378496,"Querido Papá",,"Anmol Jhanb",2024-04-15,Dance,"Tech House",1,GBRKQ2482527,"Querido Papá","Extended Mix","Anmol Jhanb",,,05:24,Dance,"Tech House"
"Build It Tech",BLDRT047,198342378496,"Querido Papá",,"Anmol Jhanb",2024-04-15,Dance,"Tech House",2,GBRKQ2482528,"Querido Papá","Radio Edit","Anmol Jhanb",,,03:01,Dance,"Tech House"
"Build It Records",BLDR189,198342243749,"Dun Mada",,"Hot Keys",2024-03-29,Dance,"Tech House",1,GBRKQ2410209,"Dun Mada",,"Hot Keys",,,06:16,Dance,"Tech House"
"Build It Records",BLDR187,197999933843,"Play The Game",,"Takes Two",2024-03-15,Dance,"Future House",1,QZ5FN2452619,"Play The Game",,"Takes Two",,,03:31,Dance,"Future House"
"Build It Records",BLDR188,197999985095,"Goes On & On",,"Hot Keys",2024-02-16,Dance,House,1,QZ5FN2479766,"Goes On & On",,"Hot Keys",,,04:56,Dance,House
"Build It Tech",BLDRT046,197999350503,Maxima,"Radio Mix",Gouzy,2023-11-10,Dance,"Tech House",1,QZZ8A2350582,Maxima,"Radio Mix",Gouzy,,,03:39,Dance,"Tech House"
"Build It Tech",BLDRT046A,197999350541,Maxima,"Extended Mix",Gouzy,2023-11-10,Dance,"Tech House",1,QZZ8A2350587,Maxima,"Extended Mix",Gouzy,,,05:29,Dance,"Tech House"
"Build It Records",BLDR186,197773739975,Complicated,,"Alfonso Tan",2023-09-15,Dance,House,1,QZWDD2331986,Complicated,,"Alfonso Tan",,,06:06,Dance,House
"Build It Records",BLDR184,197773363361,"Keep Rockn' It",,"Cole Petix",2023-08-18,Dance,"Bass House",1,QZTRX2379795,"Keep Rockn' It",,"Cole Petix",,,04:24,Dance,"Bass House"
"Build It Records",BLDR185,197773410539,"Soul Food",,"Jacques Bleu",2023-07-21,Dance,House,1,QZTV32303703,"Soul Food",,"Jacques Bleu",,,03:07,Dance,House
"Build It Records",BLDR183,197773003977,Dancin,,"Anmol Jhanb",2023-06-16,Dance,House,1,GBWUL2327625,Dancin,,"Anmol Jhanb",,,06:24,Dance,House
"Build It Records",BLDR182,197368892580,"Gimme Drums",,TXMBRR,2023-05-19,Dance,House,1,GBRKQ2390963,"Gimme Drums",,TXMBRR,,,03:52,Dance,House
"Build It Tech",BLDRT045,197368484174,"Bringin It Back",,Chango,2023-04-14,Dance,"Tech House",1,USLZJ2348579,"Bringin It Back",,Chango,,,04:41,Dance,"Tech House"
"Build It Tech",BLDRT044,197368409122,"How I Do It",,"Law Mark",2023-03-24,Dance,"Tech House",1,USLZJ2318302,"How I Do It",,"Law Mark",,,03:34,Dance,"Tech House"
"Build It Records",BLDR181,197368246581,"Salsa Secreta",,"Jon Lee",2023-02-17,Dance,Electronica,1,QZ5FN2359587,"Fall Back Down",,"Jon Lee",icausetreble,,06:08,Dance,House
"Build It Records",BLDR181,197368246581,"Salsa Secreta",,"Jon Lee",2023-02-17,Dance,Electronica,2,QZ5FN2359593,"Fall Back Down",Remix,"Jon Lee",icausetreble,"Jeromy Nail",07:29,Dance,House
"Build It Records",BLDR181,197368246581,"Salsa Secreta",,"Jon Lee",2023-02-17,Dance,Electronica,3,QZ5FN2359594,"Gotta Let You Know",,"Jon Lee",icausetreble,,06:24,Dance,House
"Build It Records",BLDR181,197368246581,"Salsa Secreta",,"Jon Lee",2023-02-17,Dance,Electronica,4,QZ5FN2359595,"Gotta Let You Know",Remix,"Jon Lee",icausetreble,"Jordan Strong",06:14,Dance,House
"Build It Tech",BLDRT043,197077899481,"Make It Sound",,"Litty Ritty",2023-01-06,Dance,"Tech House",1,QZWDD2296346,"Make It Sound","Radio Edit","Litty Ritty",,,03:00,Dance,"Tech House"
"Build It Tech",BLDRT043,197077899481,"Make It Sound",,"Litty Ritty",2023-01-06,Dance,"Tech House",2,QZWDD2296347,"Make It Sound",Extended,"Litty Ritty",,,06:17,Dance,"Tech House"
"Build It Tech",BLDT042,197077704914,"Feel It",,"Ben Grime",2022-12-09,Dance,"Tech House",1,QZWDD2228254,"Feel It",,"Ben Grime",,,06:02,Dance,"Tech House"
"Build It Tech",BLDRT041,197077442649,Blink,,"Kelvin Richard",2022-10-07,Electronic,"Tech House",1,QZTRX2275379,Blink,,"Kelvin Richard",,,05:04,Electronic,"Tech House"
"Build It Tech",BLDRT040,197077273434,Lonely,,"Law Mark",2022-09-09,Dance,"Tech House",1,GBWUL2279773,Lonely,,"Law Mark",,,03:16,Dance,"Tech House"
